VALOR
5,1
5,1
5,1
5,1
5,1
5,1
5,09
5,1
5,1
5,1
5,1
4,62
4,62
4,62
5,1
5,1
5,1
5,16
5,16
5,32
5,1
5,38
6,03
6,19
5,81
5,81
5,79
5,81
5,79
5,81
5,96
6,24
6,95
6,73
7,42
7,28
7,93
8,13
8,29
8,36
8,42
8,45
8,13
8,85
9,12
9,38
9,59
9,81
9,97
10,21
9,92
10,63
10,79
10,95
11,24
11,55
11,82
11,71
11,98
12,69
12,92
13,61
13,41
14,1
14,86
14,7
15,02
14,84
14,7
14,95
15,22
15,51
15,84
16,63
17,01
18,81
19,68
19,19
19,57
19,89
20,65
20,91
21,74
21,63
21,9
21,3
21,63
21,88
22,26
21,74
22,06
24,33
24,35
24,82
24,82
24,83
26,23
26,9
26,08
26,17
23,49
23,04
24,38
29,16
30,17
25,05
28,07
26,55
28,4
27,59
27,04
26,99
27,42
27,8
28,18
29,05
29,97
31,37
33,18
37,61
39,41
38,45
57,72
58,65
35,01
34,05
34,36
34,64
34,84
37,25
39,59
38,77
39,69
38,83
39,31
39,8
39,84
39,8
39,73
